booking_id,guest_name,email,listing_id,listing_city,checkin_date,checkout_date,nights,price_per_night,total_price,payment_status,review_score,is_cancelled
BKG-004874,LISA RICHARD,,1006,LA,2023-11-13,2024-01-02,50,286.15,14307.499999999998,Paid,-1,True
BKG-019936,Jared Jordan,ellenlloyd@perez.biz,1044,San Fran,2024-07-18,2025-04-02,258,466.93,120467.94,PENDING,,y
BKG-014055,tammie hall,ellisstephanie@gutierrez.net,1092,nyc,2023-08-19,12-02-2023,105,273.47,28714.350000000002,Paid,4,True
BKG-016852,ERICA SMITH,rodriguezjames@hayes.com,1095,NYC,2023-11-19,2025-03-25,492,278.03,136790.75999999998,N/A,-1,y
BKG-018250,linda perry,taylorwheeler@yahoo.com,1081,Los Angeles,2023-08-31,2024-01-03,125,67.05,8381.25,Paid,4,y
BKG-015813,Margaret Mcclain,,1099,LA,2023-11-06,2024-11-05,365,461.04,168279.6,pending,N/A,0
BKG-016414,John Werner DVM,brayjoseph@gmail.com,1040,San Fran,2024-08-07,2025-04-12,248,329.64,81750.72,paid,6,0
BKG-019453,robert cunningham,becky06@hotmail.com,1085,los angeles,2024-09-24,2025-01-21,119,457.42,54432.98,Paid,-1,Yes
BKG-001489,chad moore,douglas18@harmon.com,1067,los angeles,2024-11-08,2024-11-08,0,95.22,0.0,,6,Yes
BKG-011967,  John Torres  ,nmoss@gmail.com,1090,nyc,2024-02-28,2025-05-01,428,480.46,205636.88,PENDING,5,True
BKG-009561,michael davis,johnsonsabrina@yahoo.com,1072,San Francisco,2025-03-03,2025-03-03,0,237.31,0.0,N/A,,Yes
BKG-001398,Bryce Gutierrez,vickiwood@gmail.com,1093,NYC,2024-01-31,2024-09-27,240,419.89,100773.59999999999,,-1,0
BKG-013829,William Fisher,christopherbrown@yahoo.com,1083,SF,2025-03-08,05-17-2025,70,326.59,22861.3,Paid,6,1
BKG-012431,  Jennifer Ortiz  ,palmerrebecca@sanford-mckenzie.com,1090,NYC,2024-08-14,2025-04-13,242,149.06,36072.520000000004,PENDING,5,n
BKG-016160,MEGAN GRANT,sharon41@yahoo.com,1067,los angeles,2024-04-18,2025-04-27,374,87.84,32852.16,paid,6,TRUE
BKG-008688,,debbieowens@willis.com,1001,SF,2024-03-17,2024-03-17,0,351.59,0.0,N/A,1,FALSE
BKG-001056,sheila miller,stacy94@robertson.info,1059,NYC,2024-03-24,2024-04-30,37,443.81,16420.97,PENDING,,No
BKG-014736,Sean Ross,james32@harris.biz,1082,New York,2024-10-23,2024-11-07,15,free,error,pending,,n
BKG-000945,william howard,rachel86@brown.org,1081,San Fran,2024-01-10,2024-12-31,356,445.75,158687.0,pending,6,1
BKG-011832,  Jasmine Savage  ,meganpalmer@joseph.com,1075,los angeles,2024-12-21,2025-03-31,100,430.22,43022.0,,6,True
BKG-002826,DUSTIN POTTER,robert94@sloan-mcguire.com,1088,SF,2024-06-14,2024-12-02,171,99.66,17041.86,N/A,-1,False
BKG-005843,ANA MOORE,susanmcgee@yahoo.com,1024,nyc,2025-04-08,2025-05-20,42,470.22,19749.24,paid,-1,True
BKG-000383,cassandra hansen,vanessa95@hotmail.com,1052,New York,2024-02-25,2024-06-11,107,191.98,20541.86,Unpaid,N/A,0
BKG-006252,  David Frederick  ,hperry@yahoo.com,1009,nyc,2024-01-12,2025-02-27,412,445.14,183397.68,pending,6,False
BKG-019866,  Travis Hogan  ,heidimiller@gmail.com,1054,New York,2024-05-25,2024-12-22,211,468.93,98944.23,pending,N/A,y
BKG-003328,  Mario Smith  ,terrybrooke@ross.com,1050,NYC,2024-07-03,2025-03-30,270,190.41,51410.7,N/A,,1
BKG-015931,JOHN BARBER,ymoore@gmail.com,1075,SF,2024-06-18,2024-12-02,167,414.93,69293.31,Unpaid,N/A,False
BKG-008535,  Thomas Hill  ,qchurch@miller-henry.com,1008,San Francisco,2024-01-22,2024-12-03,316,172.79,54601.64,N/A,N/A,y
BKG-003062,Natalie York,,1008,San Fran,2024-03-29,11-30-2024,246,79.0,19434.0,N/A,,FALSE
BKG-007772,Stephanie Taylor,huntermichelle@chen-barrett.com,1076,new york,2025-03-10,2025-03-21,11,310.94,3420.34,pending,6,True
BKG-005638,STANLEY RICE,youngjessica@hotmail.com,1028,new york,2023-10-04,2023-10-12,8,276.55,2212.4,,6,y
BKG-002533,Leroy Walker,shane42@gmail.com,1036,NYC,2024-07-11,2025-02-05,209,328.47,68650.23000000001,paid,,False
BKG-004344,david oneal phd,melvin17@nguyen-smith.biz,1018,NYC,31/01/2025,2025-02-19,19,128.37,2439.03,PENDING,-1,FALSE
BKG-000423,  Alexa Williams  ,nathandavis@gmail.com,1087,SF,2024-05-14,2024-06-18,35,145.95,5108.25,Unpaid,3,No
BKG-017487,bobby potts,stonerichard@sanders.com,1028,los angeles,2023-12-24,2024-01-01,8,395.99,3167.92,paid,1,TRUE
BKG-016694,,,1014,New York,2023-08-29,2025-01-07,497,92.74,46091.78,Unpaid,,No
BKG-016686,  Kathleen Walker  ,vsanders@rowe.com,1044,New York,2025-03-12,2025-03-26,14,440.59,6168.259999999999,N/A,-1,y
BKG-006593,Gregory Doyle,sbrown@page-doyle.info,1085,los angeles,2025-03-11,2025-05-08,58,288.5,16733.0,paid,,No
BKG-008902,brian anderson,phillipsjustin@bridges-wilson.biz,1016,new york,2025-02-12,2025-02-20,8,316.47,2531.76,,-1,y
BKG-008796,David Wise,msilva@jacobson.com,1076,San Fran,2024-11-28,2025-05-05,158,245.36,38766.880000000005,Unpaid,N/A,False
BKG-012701,JEFFREY CANTRELL,colin17@hotmail.com,1094,los angeles,2023-06-27,2023-08-05,39,167.72,6541.08,PENDING,,Yes
BKG-012634,timothy curtis,wjohnson@payne.com,1096,NYC,2024-05-31,2024-09-13,105,186.06,19536.3,paid,-1,TRUE
BKG-014054,Mallory Parker,coopermaurice@short.info,1030,Los Angeles,2024-08-26,2025-04-25,242,88.52,21421.84,N/A,6,FALSE
BKG-019548,nathan arnold,morganlopez@yahoo.com,1007,NYC,31/08/2023,2024-11-22,449,148.84,66829.16,N/A,6,True
BKG-002450,,katiemendez@yahoo.com,1059,New York,2023-10-25,2025-03-23,515,470.7,242410.5,Paid,6,1
BKG-010978,Ruth Aguirre,mckinneycharles@thompson.info,1070,NYC,02/08/2024,2025-03-15,225,486.84,109539.0,pending,6,False
BKG-007303,,jasoncervantes@henderson.org,1089,Los Angeles,2024-07-03,2025-03-03,243,213.83,51960.69,paid,-1,FALSE
BKG-018830,brandon wood,woodsgeorge@gmail.com,1031,SF,2024-05-29,2024-09-03,97,410.76,39843.72,pending,3,FALSE
BKG-011897,  Mrs. Shelly Bush  ,kaitlyn35@gmail.com,1046,New York,2024-05-13,2025-04-19,341,318.47,108598.27,,N/A,1
BKG-018651,  Andrew Hendricks  ,qnixon@webb.org,1046,new york,2024-01-11,2024-08-27,229,285.23,65317.670000000006,paid,6,True
BKG-008618,BROOKE DEAN,laurie22@yahoo.com,1077,Los Angeles,2024-04-28,01-18-2025,265,327.14,86692.09999999999,,N/A,1
BKG-000735,CHARLES BROWN,aliciakent@yahoo.com,1025,los angeles,2024-04-13,2025-04-07,359,262.93,94391.87,,6,True
BKG-017116,JAMIE HOGAN,cynthiarhodes@turner-mcmillan.com,1076,new york,2023-07-10,2024-11-27,506,265.11,134145.66,paid,-1,y
BKG-009050,KATHERINE RODRIGUEZ,jonesbilly@hotmail.com,1065,Los Angeles,2024-06-30,2024-11-15,138,226.79,31297.02,PENDING,-1,1
BKG-003511,wesley gray,obrienchristopher@yahoo.com,1007,new york,2024-05-02,2025-05-16,379,free,error,PENDING,6,Yes
BKG-011726,MATTHEW CHEN,robertward@yahoo.com,1016,New York,2023-08-12,2024-04-04,236,454.36,107228.96,Unpaid,3,Yes
BKG-006688,Steven Parks,andrewpena@hotmail.com,1054,NYC,2024-04-11,2024-09-05,147,484.26,71186.22,Paid,N/A,True
BKG-007007,,dflynn@gmail.com,1037,LA,2024-05-26,2024-03-23,-64,289.43,-18523.52,N/A,-1,n
BKG-009893,RENEE NELSON,oneilljeffrey@wilson.com,1018,new york,2024-01-21,2024-12-21,335,394.05,132006.75,N/A,-1,True
BKG-018100,  Eric Martin  ,ljones@yahoo.com,1078,Los Angeles,2025-02-12,2025-03-02,18,free,error,,5,0
BKG-009622,ANDREA ANDERSON,bryanpaul@yahoo.com,1070,San Fran,2024-06-28,2024-07-06,8,171.18,1369.44,N/A,6,0
BKG-009586,  Kyle Tucker  ,ebrown@martinez-harper.biz,1071,San Fran,2024-08-02,2024-10-18,77,252.85,19469.45,PENDING,,Yes
BKG-008380,Cynthia Lucero,michael76@yahoo.com,1032,San Francisco,2023-07-16,2024-01-30,198,388.43,76909.14,pending,-1,False
BKG-013175,jamie johnson,lancemay@hotmail.com,1081,los angeles,2023-10-05,2024-02-15,seven,451.23,error,Paid,4,1
BKG-013788,carrie watson,jessicanguyen@hotmail.com,1093,Los Angeles,2025-03-31,2025-04-14,14,117.14,1639.96,,N/A,y
BKG-002889,Vincent Johnson,vanessa12@gmail.com,1004,LA,2023-11-04,2025-03-25,507,265.44,134578.08,,N/A,True
BKG-006179,  Amber Perry  ,maureentorres@leonard.org,1023,los angeles,2024-12-02,2025-04-26,145,185.16,26848.2,,-1,0
BKG-014530,Amanda Jones,hking@lewis.com,1055,LA,2025-02-06,2025-03-17,39,free,error,Paid,-1,0
BKG-006340,  Mark Jensen  ,patrickosborne@howard.com,1057,SF,2024-01-11,2024-08-10,212,145.22,30786.64,pending,2,No
BKG-003533,  Becky Ramos  ,qcoleman@williams-ross.info,1006,new york,2024-02-04,2024-11-01,271,460.45,124781.95,PENDING,3,Yes
BKG-013700,cindy cohen,clairethompson@gmail.com,1084,los angeles,2024-06-18,2025-02-27,,267.76,error,PENDING,N/A,0
BKG-015739,ANNA ARMSTRONG,williamrios@watts.info,1003,los angeles,2025-01-26,2025-05-14,108,86.99,9394.92,PENDING,4,TRUE
BKG-007486,bradley hernandez,shawn22@simon.com,1074,Los Angeles,2024-01-15,2025-03-13,423,389.13,164601.99,Paid,N/A,0
BKG-007575,,,1064,NYC,2023-06-22,2023-10-06,106,240.25,25466.5,Paid,1,FALSE
BKG-019947,  Alexander Waters  ,qlin@shaw-christian.org,1071,los angeles,2024-03-18,2025-01-10,298,401.5,119647.0,paid,,No
BKG-010678,kevin king,david69@yahoo.com,1086,los angeles,2023-10-23,2023-11-05,13,339.07,4407.91,,-1,n
BKG-006455,,justin86@bailey.com,1040,San Francisco,2023-05-21,2025-02-13,634,336.62,213417.08000000002,,6,FALSE
BKG-000247,DANIEL MOSLEY,lawrencepatrick@edwards-taylor.com,1081,San Fran,2024-09-03,2024-10-05,32,430.44,13774.08,paid,N/A,No
BKG-006234,  Charles Johnson  ,zmorales@hotmail.com,1057,SF,2023-05-30,2024-11-26,546,321.09,175315.13999999998,Unpaid,1,True
BKG-002734,,johnsonemily@gmail.com,1088,LA,2024-01-31,2024-07-18,169,448.03,75717.06999999999,Unpaid,N/A,1
BKG-003265,CHRISTINE WALLACE,ocollins@williams.com,1052,new york,2024-08-04,2024-11-17,105,362.97,38111.850000000006,,6,No
BKG-011897,  Mrs. Shelly Bush  ,kaitlyn35@gmail.com,1046,New York,2024-05-13,2025-04-19,341,318.47,108598.27,,N/A,1
BKG-006366,laurie villegas,peggy65@yahoo.com,1023,LA,2023-08-25,2024-08-20,361,169.85,61315.85,,6,0
BKG-001412,brandon shelton,dennisschneider@gmail.com,1003,Los Angeles,2023-05-22,2025-04-06,685,293.53,201068.05,pending,-1,FALSE
BKG-014438,BRIAN HARRIS,hwhite@hurley.com,1069,San Fran,2024-03-10,2025-02-12,339,107.9,36578.1,pending,,True
BKG-016215,Janet Dalton,,1048,San Francisco,2024-11-12,2025-01-10,,261.42,error,paid,,FALSE
BKG-014281,PAUL WILSON,langchristopher@gmail.com,1056,San Francisco,2024-11-14,2024-12-06,22,436.1,9594.2,,-1,1
BKG-007305,  Gary Dillon  ,davidray@yahoo.com,1088,SF,2023-08-02,2023-12-02,122,289.1,35270.200000000004,pending,6,True
BKG-007304,,jeffreygarcia@tate-williams.net,1048,San Francisco,2023-07-07,2023-07-19,12,182.98,2195.7599999999998,,2,TRUE
BKG-014511,catherine holmes dds,kristina49@yahoo.com,1064,Los Angeles,2024-06-05,2025-02-25,265,481.44,127581.6,paid,4,0
BKG-013769,WENDY MCINTYRE,fulleramanda@hotmail.com,1098,new york,2023-11-26,2024-01-16,51,269.75,13757.25,PENDING,2,1
BKG-010108,  Stephanie Francis  ,esmith@gmail.com,1012,Los Angeles,2024-04-28,2024-08-15,109,213.95,23320.55,Paid,5,Yes
BKG-003479,Christina Williams,bryantbrenda@gmail.com,1069,Los Angeles,2024-11-19,2025-01-22,64,320.43,20507.52,,-1,0
BKG-012554,patrick allen,hollywells@williams.com,1027,nyc,2023-12-20,2025-01-04,381,134.16,51114.96,N/A,N/A,1
BKG-002041,James Martinez,nicolereeves@baker-lambert.info,1010,LA,2024-02-23,2025-04-22,424,96.03,40716.72,N/A,-1,Yes
BKG-019578,AMANDA MENDEZ,williamsjacqueline@woodward-barnett.com,1043,Los Angeles,2023-11-20,2024-05-08,170,194.89,33131.299999999996,Unpaid,,True
BKG-002290,greg dyer,xcarlson@parks.info,1094,San Francisco,15/08/2024,2024-12-21,128,256.92,32885.76,PENDING,3,False
BKG-015817,,bakerjason@hotmail.com,1010,NYC,2025-03-15,2025-03-31,16,488.13,7810.08,PENDING,,No
BKG-011564,Mark Silva,smorgan@lee-hammond.com,1099,Los Angeles,2023-08-11,2023-11-25,106,128.65,13636.900000000001,Unpaid,-1,Yes
BKG-004955,Jennifer Reed,amyharper@kennedy.com,1017,los angeles,2023-08-05,2024-07-26,,415.01,error,paid,N/A,n
BKG-018472,Debra Atkinson,bankseric@ross.net,1081,nyc,2024-05-14,2024-06-05,22,314.84,6926.48,paid,,n
BKG-004438,Charles Rowe,salazarchristopher@church.com,1053,NYC,2023-10-11,2024-01-22,103,394.64,40647.92,pending,6,FALSE
BKG-012399,anna mckinney,jeremy74@yahoo.com,1039,New York,2023-11-29,2024-05-18,171,367.42,62828.82,pending,,Yes
BKG-003184,  Jenna Valdez  ,williamsjennifer@yahoo.com,1091,SF,2023-09-16,2024-07-17,305,484.03,147629.15,N/A,,FALSE
BKG-007687,CLAUDIA DUNN,goldendaniel@gmail.com,1089,new york,2024-07-22,2024-12-07,138,53.88,7435.4400000000005,N/A,6,False
BKG-017627,ERIC BENNETT,kimberly14@hotmail.com,1058,San Francisco,2024-06-21,2025-02-23,247,461.7,114039.9,paid,1,y
BKG-002564,  Michael Garcia  ,yrodriguez@gmail.com,1088,los angeles,2025-02-02,2025-04-23,80,437.23,34978.4,paid,4,No
BKG-011701,  Jason Long  ,,1058,Los Angeles,2024-10-16,05-20-2025,216,393.64,85026.23999999999,Paid,2,FALSE
BKG-005532,  Brandi Torres  ,smithashley@stewart.com,1007,New York,2025-01-30,2025-02-09,10,141.62,1416.2,Unpaid,6,No
BKG-010862,DIANE TURNER,ericherrera@yahoo.com,1009,Los Angeles,2023-08-28,2023-10-20,53,109.84,5821.52,N/A,N/A,Yes
BKG-014101,,melissayoung@mendez.biz,1095,los angeles,2024-06-12,2024-08-10,59,423.07,24961.13,,6,True
BKG-004982,JAMES COSTA,,1083,NYC,29/11/2023,2024-09-09,285,282.5,80512.5,Unpaid,-1,y
BKG-005388,,johnsongabriel@gmail.com,1083,los angeles,2023-07-06,2023-07-18,12,462.02,5544.24,N/A,6,No
BKG-002325,  Ashley Trujillo  ,suttongrant@hotmail.com,1041,SF,2023-07-10,2024-04-25,290,170.22,49363.8,paid,N/A,n
BKG-012983,  Peter Blair  ,licathy@yahoo.com,1047,NYC,2024-02-15,2025-05-14,454,350.89,159304.06,N/A,6,TRUE
BKG-006280,Carlos Cruz,,1050,LA,2023-04-29,2023-09-19,143,271.38,38807.34,Paid,6,1
BKG-002884,VERONICA DENNIS,tpeters@ruiz-garrison.com,1041,New York,2023-04-26,2024-04-16,356,308.99,110000.44,pending,6,False
BKG-011806,,stephanie76@joseph.com,1091,LA,2024-01-15,2025-01-13,364,267.71,97446.43999999999,pending,1,n
BKG-011776,ERIC COLEMAN,matthewfitzpatrick@gmail.com,1085,new york,2024-10-16,2024-11-19,34,370.99,12613.66,Paid,N/A,False
BKG-012348,anthony baker,elizabethsimon@gmail.com,1079,nyc,2024-06-01,2024-11-13,165,179.62,29637.3,Unpaid,,True
BKG-008158,  Joseph Bowen  ,robertsbrandi@gmail.com,1056,SF,08/10/2023,2024-03-17,161,350.08,56362.88,PENDING,,FALSE
BKG-018552,MRS. SAMANTHA ZHANG,emcdonald@higgins-carney.com,1004,NYC,2024-03-19,2024-08-13,147,211.62,31108.14,pending,N/A,0
BKG-000134,  Amy Parsons  ,carterbradley@gmail.com,1040,NYC,2025-03-10,2025-03-14,4,354.14,1416.56,N/A,-1,False
BKG-013882,SUSAN ROSS,beckdanielle@hotmail.com,1043,los angeles,2025-03-27,2025-05-17,51,212.1,10817.1,Unpaid,N/A,FALSE
BKG-003222,jonathan rodriguez,vnorton@hotmail.com,1033,LA,2024-03-06,2024-06-19,105,279.37,29333.850000000002,pending,N/A,1
BKG-007138,  Elizabeth Shannon MD  ,chelseaedwards@hotmail.com,1008,New York,2023-04-27,2023-10-05,-1,N/A,error,PENDING,6,No
BKG-008917,,molly94@gonzalez-cross.org,1001,LA,2024-03-19,2024-11-10,236,50.79,11986.44,PENDING,6,1
BKG-006669,DONALD DORSEY,kaufmanleslie@hotmail.com,1092,NYC,2023-12-14,2024-03-20,97,142.42,13814.739999999998,pending,,0
BKG-018196,ANTONIO DEAN,brandon97@ruiz.com,1074,Los Angeles,2024-06-20,2024-06-20,0,495.38,0.0,paid,-1,Yes
BKG-015614,,hbrooks@reyes.net,1005,San Fran,2023-10-06,2024-01-22,108,218.7,23619.6,PENDING,N/A,True
BKG-019771,,gabriellemays@gmail.com,1051,los angeles,2023-05-31,2024-12-03,,338.63,error,N/A,6,FALSE
BKG-017403,Benjamin Turner,,1001,SF,2024-01-29,11-21-2024,297,359.41,106744.77,pending,2,FALSE
BKG-017242,,michaelmiller@wilkerson.com,1081,San Fran,2024-10-27,2025-04-25,180,142.26,25606.8,PENDING,,False
BKG-013812,SAMANTHA CLARK,hutchinsonmiguel@conrad-wiggins.com,1089,New York,2024-09-12,2024-12-12,91,358.14,32590.739999999998,Unpaid,N/A,y
BKG-008225,,barnettchristine@jordan-carter.biz,1061,SF,2023-09-13,2023-10-11,28,298.71,8363.88,paid,N/A,False
BKG-000640,,prose@miller.info,1005,SF,2023-12-11,2024-04-04,115,393.67,45272.05,Unpaid,N/A,TRUE
BKG-016392,  Thomas Parker  ,hunterjaime@kent.com,1052,nyc,2023-07-11,2023-09-15,66,466.96,30819.359999999997,pending,6,True
BKG-018962,,bookerbrian@hotmail.com,1071,NYC,2024-06-28,2025-05-17,323,408.5,131945.5,Unpaid,,True
BKG-010781,MELISSA JOHNSON,reevestara@moore.com,1045,Los Angeles,2025-03-27,2025-05-14,48,107.04,5137.92,,6,True
BKG-009806,PETER KIDD,wbanks@yahoo.com,1038,San Francisco,16/09/2023,2023-10-30,44,495.67,21809.48,PENDING,N/A,FALSE
BKG-001595,JAMES LOPEZ JR.,christopher96@graham.com,1039,Los Angeles,2023-08-09,2024-11-19,468,400.88,187611.84,Paid,-1,True
BKG-019814,,,1058,NYC,2023-09-11,2025-01-05,482,361.07,174035.74,PENDING,4,TRUE
BKG-019199,Kristen Knight,matthew37@jackson-evans.com,1077,NYC,2024-03-19,06-09-2024,82,374.51,30709.82,,5,True
BKG-006105,russell miller,wyattkayla@orozco.info,1073,LA,2024-03-12,2024-06-28,108,389.15,42028.2,Paid,5,1
BKG-001313,Roberto Arnold,vjones@collins.com,1018,Los Angeles,2023-04-30,2023-07-17,78,422.94,32989.32,N/A,N/A,1
BKG-013818,natalie moore,mikemiles@perez-walker.com,1004,San Fran,2025-01-10,2025-04-10,90,181.82,16363.8,Paid,N/A,True
BKG-002255,Emily Ryan,vanessajimenez@gmail.com,1051,LA,2023-12-03,2023-12-05,2,92.7,185.4,,,n
BKG-000369,,jim38@yahoo.com,1082,New York,2024-02-17,2025-02-15,364,69.09,25148.760000000002,paid,6,Yes
BKG-013871,JOHN DUNN,daviesbrian@mcclure.biz,1091,San Francisco,2025-04-05,2025-05-12,37,355.0,13135.0,N/A,6,1
BKG-017646,nicholas roman,melendezchristine@thompson.com,1087,nyc,2024-09-07,2025-03-26,200,448.65,89730.0,N/A,2,Yes
BKG-003964,Crystal Durham,ryanjohn@hotmail.com,1051,nyc,2023-05-21,2024-12-20,579,339.43,196529.97,,,No
BKG-019179,,amberhernandez@knight.org,1025,New York,2024-01-23,2024-03-16,53,149.03,7898.59,Paid,,True
BKG-009059,,daniellewilson@perry.com,1060,New York,2023-10-25,2024-01-04,71,158.62,11262.02,Unpaid,3,n
BKG-000688,  April Mahoney  ,carla65@hotmail.com,1023,new york,2023-10-04,2024-12-31,454,139.76,63451.03999999999,pending,-1,False
BKG-014731,TIMOTHY CASEY,scottjeffrey@hotmail.com,1044,NYC,2023-10-22,01-03-2024,73,428.02,31245.46,N/A,N/A,n
BKG-003434,Sara Coffey,sarahstewart@yahoo.com,1019,SF,2024-07-28,2024-09-24,58,452.32,26234.56,Unpaid,-1,0
BKG-001612,robert mcintosh,nward@gomez-diaz.biz,1014,SF,2023-08-23,2024-01-29,159,72.29,11494.11,PENDING,,False
BKG-018774,daniel rogers,nrobinson@hotmail.com,1053,San Fran,2024-02-29,2024-05-23,seven,429.36,error,PENDING,-1,False
BKG-009509,,,1051,SF,2024-11-29,2025-03-17,108,488.91,52802.280000000006,N/A,,n
BKG-000199,  Daniel Bryant  ,bhopkins@patel.com,1006,nyc,2023-05-04,2024-06-18,411,317.27,130397.96999999999,Paid,N/A,TRUE
BKG-016099,rebecca jones,martinjohn@hotmail.com,1046,new york,2024-11-11,2025-04-26,166,392.56,65164.96,PENDING,,y
BKG-003014,PHILLIP MENDOZA,floresphillip@robertson.info,1052,San Francisco,2024-02-06,2024-08-04,180,353.26,63586.799999999996,Unpaid,3,No
BKG-008397,  Matthew Newton  ,ucarlson@hotmail.com,1038,NYC,2024-08-13,2025-02-26,197,334.01,65799.97,Unpaid,-1,No
BKG-000474,  Nicholas Fuller  ,mramsey@mitchell.net,1054,SF,2024-07-11,2025-03-10,seven,314.6,error,PENDING,6,0
BKG-009666,charles bolton,zlindsey@berry.org,1089,new york,2024-09-24,2025-04-25,213,331.18,70541.34,N/A,-1,n
BKG-006987,  Juan Esparza  ,james94@saunders.com,1099,San Francisco,2024-05-15,2024-06-06,-1,139.13,-139.13,N/A,6,True
BKG-003473,,thudson@yahoo.com,1008,San Francisco,2024-06-25,2025-02-23,243,255.88,62178.84,Paid,N/A,n
BKG-007139,ANNA HERNANDEZ,judyjackson@fitzgerald-sanders.com,1092,Los Angeles,2024-02-02,2025-04-19,442,363.19,160529.98,Paid,,1
BKG-017643,KELSEY BURKE,stacylarson@gmail.com,1057,LA,2025-01-27,2025-02-03,7,436.36,3054.52,PENDING,-1,TRUE
BKG-017049,  Cheyenne Morales  ,fitzpatrickrebecca@guzman.com,1028,los angeles,2023-06-23,2024-04-15,-1,431.35,-431.35,,N/A,True
BKG-008794,,oliverlaura@mendoza.com,1045,LA,2023-12-25,2024-01-25,31,90.3,2799.2999999999997,paid,6,n
BKG-005226,,cindy81@strong-hart.net,1083,New York,2025-01-25,2025-02-21,27,469.39,12673.529999999999,paid,3,True
BKG-010029,LISA WARD,melissa67@guerrero-gray.net,1058,los angeles,2024-01-30,2024-02-25,seven,361.72,error,N/A,5,No
BKG-005350,Roger Brooks,stacey73@hotmail.com,1060,new york,2025-02-21,2025-02-27,6,258.25,1549.5,paid,,0
BKG-016707,mary curry,robertsnyder@yahoo.com,1021,New York,2025-03-17,2025-05-13,57,183.5,10459.5,Unpaid,-1,No
BKG-018768,Robert Turner,emily41@levy.org,1040,San Fran,2025-02-15,2025-04-25,69,318.67,21988.23,pending,,n
BKG-012566,ian anderson,,1006,New York,01/09/2024,2025-04-18,229,290.14,66442.06,pending,-1,TRUE
BKG-000444,JUSTIN FREEMAN,johnadams@morris-glass.com,1014,New York,2023-07-18,2024-12-20,521,216.35,112718.34999999999,N/A,N/A,0
BKG-001572,BRIANNA HANSON,melanie40@hodge.com,1038,New York,2024-05-25,2024-06-20,-1,292.74,-292.74,,6,TRUE
BKG-008056,julie padilla md,arthur60@gmail.com,1077,LA,2025-02-17,2025-02-22,5,305.25,1526.25,Unpaid,4,0
BKG-017152,RYAN CARPENTER,wolsen@bright.com,1025,Los Angeles,2023-04-29,2024-02-22,299,181.31,54211.69,paid,,TRUE
BKG-007747,patrick burnett,stonesharon@gmail.com,1079,San Fran,2024-05-31,2025-05-06,340,95.34,32415.600000000002,,-1,True
BKG-004328,,wmcdonald@erickson-hill.com,1020,nyc,2023-08-12,2023-10-27,76,235.3,17882.8,N/A,,FALSE
BKG-018634,nathan pineda,abrooks@gmail.com,1087,San Fran,2023-10-26,2024-12-07,408,186.17,75957.36,N/A,,False
BKG-016166,sandra palmer,nicole87@gmail.com,1030,San Francisco,2023-07-19,2023-09-03,46,299.57,13780.22,PENDING,-1,Yes
BKG-008766,MELISSA LEWIS,,1064,New York,09/02/2025,2025-03-29,48,481.78,23125.44,PENDING,4,No
